Date,capital_100,fijo_10k,riesgo_1pct_atr,riesgo_2pct_atr,apalancado_x2
1999-12-21,1.0,1.0,1.0,1.0,1.0
1999-12-22,1.0,1.0,1.0,1.0,1.0
1999-12-23,1.0,1.0,1.0,1.0,1.0
1999-12-27,1.0,1.0,1.0,1.0,1.0
1999-12-28,1.0,1.0,1.0,1.0,1.0
1999-12-29,1.0,1.0,1.0,1.0,1.0
1999-12-30,1.0,1.0,1.0,1.0,1.0
1999-12-31,1.0,1.0,1.0,1.0,1.0
2000-01-03,1.0,1.0,1.0,1.0,1.0
2000-01-04,1.0,1.0,1.0,1.0,1.0
2000-01-05,1.0,1.0,1.0,1.0,1.0
2000-01-06,0.92148,0.92148,0.9886,0.97721,0.84296
2000-01-07,1.03545,1.04517,1.00635,1.01229,1.05149
2000-01-10,1.06422,1.07294,1.01041,1.02045,1.1099
2000-01-11,1.05506,1.06434,1.00915,1.01791,1.0908
2000-01-12,1.05506,1.06434,1.00915,1.01791,1.0908
2000-01-13,1.05506,1.06434,1.00915,1.01791,1.0908
2000-01-14,1.05506,1.06434,1.00915,1.01791,1.0908
2000-01-18,1.05506,1.06434,1.00915,1.01791,1.0908
2000-01-19,1.05506,1.06434,1.00915,1.01791,1.0908
2000-01-20,1.05506,1.06434,1.00915,1.01791,1.0908
2000-01-21,1.05506,1.06434,1.00915,1.01791,1.0908
2000-01-24,1.05506,1.06434,1.00915,1.01791,1.0908
2000-01-25,1.05506,1.06434,1.00915,1.01791,1.0908
2000-01-26,1.05506,1.06434,1.00915,1.01791,1.0908
2000-01-27,1.05506,1.06434,1.00915,1.01791,1.0908
2000-01-28,1.05506,1.06434,1.00915,1.01791,1.0908
2000-01-31,1.10135,1.10821,1.01376,1.02722,1.18652
2000-02-01,1.1309,1.13504,1.0166,1.03297,1.25018
2000-02-02,1.13225,1.13624,1.01673,1.03323,1.25317
2000-02-03,1.13225,1.13624,1.01673,1.03323,1.25317
2000-02-04,1.13225,1.13624,1.01673,1.03323,1.25317
2000-02-07,1.13225,1.13624,1.01673,1.03323,1.25317
2000-02-08,1.13225,1.13624,1.01673,1.03323,1.25317
2000-02-09,1.13225,1.13624,1.01673,1.03323,1.25317
2000-02-10,1.13225,1.13624,1.01673,1.03323,1.25317
2000-02-11,1.13225,1.13624,1.01673,1.03323,1.25317
2000-02-14,1.13225,1.13624,1.01673,1.03323,1.25317
2000-02-15,1.13225,1.13624,1.01673,1.03323,1.25317
2000-02-16,1.13225,1.13624,1.01673,1.03323,1.25317
2000-02-17,1.13225,1.13624,1.01673,1.03323,1.25317
2000-02-18,1.13225,1.13624,1.01673,1.03323,1.25317
2000-02-22,1.13225,1.13624,1.01673,1.03323,1.25317
2000-02-23,1.13225,1.13624,1.01673,1.03323,1.25317
2000-02-24,1.13225,1.13624,1.01673,1.03323,1.25317
2000-02-25,1.13225,1.13624,1.01673,1.03323,1.25317
2000-02-28,1.13225,1.13624,1.01673,1.03323,1.25317
2000-02-29,1.13225,1.13624,1.01673,1.03323,1.25317
2000-03-01,1.13225,1.13624,1.01673,1.03323,1.25317
2000-03-02,1.13225,1.13624,1.01673,1.03323,1.25317
2000-03-03,1.13225,1.13624,1.01673,1.03323,1.25317
2000-03-06,1.13225,1.13624,1.01673,1.03323,1.25317
2000-03-07,1.13225,1.13624,1.01673,1.03323,1.25317
2000-03-08,1.13225,1.13624,1.01673,1.03323,1.25317
2000-03-09,1.13225,1.13624,1.01673,1.03323,1.25317
