entrada,salida,px_ent,px_sal,ret,expo,barras,rsi_senal
2000-01-06,2000-01-11,73.2405,77.27314,0.05506,0.14514,3,14.63868
2000-01-31,2000-02-02,72.39748,77.69423,0.07316,0.10428,2,13.34212
2000-03-15,2000-03-20,89.78547,93.48573,0.04121,0.11699,3,9.30316
2000-03-30,2000-04-07,90.41779,87.69553,-0.03011,0.11046,6,7.65595
2000-04-13,2000-04-19,78.2462,77.90473,-0.00436,0.07214,4,7.18569
2000-05-10,2000-05-17,71.13295,75.1676,0.05672,0.07471,5,13.66012
2000-06-26,2000-07-05,78.45691,78.85225,0.00504,0.10525,6,9.66984
2000-07-28,2000-08-09,77.71924,78.90493,0.01526,0.13234,8,6.41042
2000-09-07,2000-09-21,81.61839,78.9576,-0.0326,0.16548,10,10.98233
2003-04-01,2003-04-03,21.44732,22.43658,0.04613,0.16956,2,4.54269
2003-04-10,2003-04-16,21.46423,22.44497,0.04569,0.16886,4,7.64215
2003-05-20,2003-05-22,23.4032,23.3799,-0.001,0.21467,2,8.37012
2003-06-24,2003-07-03,25.06403,25.85597,0.0316,0.20632,7,7.59679
2003-07-18,2003-07-24,26.47193,26.82448,0.01332,0.20419,4,7.20083
2003-08-06,2003-08-13,25.59519,26.09175,0.0194,0.19335,5,3.88614
2003-09-11,2003-09-15,28.05692,28.50054,0.01581,0.25711,2,13.96906
2003-09-26,2003-10-03,27.72816,28.50894,0.02816,0.22329,5,12.8693
2003-10-24,2003-10-27,28.48684,28.87106,0.01349,0.25554,1,12.88135
2003-11-11,2003-11-14,29.63341,30.15971,0.01776,0.27018,3,12.28837
2003-11-18,2003-11-25,29.39739,29.72173,0.01103,0.25919,5,11.23063
2003-12-10,2003-12-12,29.08544,29.73862,0.02246,0.25129,2,13.71879
2004-01-26,2004-02-12,32.03181,31.61219,-0.0131,0.30978,13,9.7071
2004-02-24,2004-02-26,30.6149,30.72753,0.00368,0.27358,2,7.25336
2004-03-09,2004-03-26,30.20169,29.74172,-0.01523,0.27793,13,9.40027
2004-04-16,2004-04-23,30.53056,31.24147,0.02329,0.28594,5,13.55673
2004-04-29,2004-05-05,30.43781,29.84287,-0.01955,0.27521,4,12.03417
2004-06-04,2004-06-09,30.64862,31.15721,0.01659,0.30292,3,9.50678
2004-06-22,2004-06-24,30.49684,31.1909,0.02276,0.31835,2,13.05625
2004-07-07,2004-08-02,30.32816,29.16041,-0.0385,0.2947,18,6.48722
2004-12-20,2004-12-23,33.69244,33.69275,1e-05,0.36737,3,13.63567
2005-01-04,2005-01-19,33.77758,32.94422,-0.02467,0.39311,10,6.53978
2005-01-21,2005-01-28,31.91285,31.65976,-0.00793,0.32459,5,10.55408
2005-02-10,2005-02-15,31.72555,32.23817,0.01616,0.33832,3,14.82883
2005-02-22,2005-02-28,31.52966,31.86396,0.0106,0.3468,4,12.73756
2005-03-14,2005-04-06,31.70855,31.1835,-0.01656,0.32042,16,8.55998
2005-06-08,2005-06-22,32.25342,32.35312,0.00309,0.40161,10,11.7719
2005-06-24,2005-07-11,31.85712,32.24247,0.0121,0.38241,10,2.0555
2005-08-08,2005-08-15,33.68093,33.32373,-0.01061,0.47217,5,13.80237
2005-08-25,2005-08-31,32.87133,32.89804,0.00081,0.42216,4,4.55047
2005-09-15,2005-09-26,33.45932,33.179,-0.00838,0.47082,7,11.76383
2005-10-06,2005-10-17,33.0077,32.41279,-0.01802,0.41903,7,11.94111
2005-10-28,2005-11-01,32.52185,33.01728,0.01523,0.35113,2,10.08487
2005-11-30,2005-12-05,35.18088,35.80979,0.01788,0.45641,3,12.79211
2005-12-09,2005-12-23,35.4195,35.42678,0.00021,0.43821,10,14.63737
2005-12-30,2006-01-05,34.63361,35.63168,0.02882,0.44277,3,5.60591
2006-01-19,2006-01-20,36.23971,36.23757,-6e-05,0.43254,1,4.69486
2006-01-23,2006-01-30,35.33406,35.99859,0.01881,0.36854,5,10.2055
2006-02-03,2006-02-16,35.12906,35.25616,0.00362,0.37914,9,14.47344
2006-03-08,2006-03-16,34.8215,35.71703,0.02572,0.3609,6,8.74431
2006-04-12,2006-04-20,35.85472,36.41678,0.01568,0.38825,5,9.55959
2006-04-26,2006-05-08,35.78638,35.93852,0.00425,0.38214,8,12.78369
2006-05-11,2006-05-26,35.58969,33.69235,-0.05331,0.42856,11,14.10577
2006-10-03,2006-10-05,34.25602,35.31633,0.03095,0.35572,2,9.48797
2006-11-28,2006-11-30,37.24341,37.66796,0.0114,0.38737,2,7.93292
2006-12-21,2006-12-28,37.48593,36.9861,-0.01333,0.36156,4,12.55529
2007-01-19,2007-02-09,37.68303,38.15911,0.01263,0.35949,15,7.17917
2007-02-13,2007-02-15,37.52015,38.21039,0.0184,0.38574,2,10.50572
2007-02-28,2007-03-02,36.98028,36.62648,-0.00957,0.33801,2,2.59658
2007-03-05,2007-03-21,36.12325,37.3864,0.03497,0.30269,12,3.99869
2007-03-29,2007-04-05,37.57818,37.94322,0.00971,0.36981,5,10.9385
2007-05-11,2007-05-22,39.65342,40.29914,0.01628,0.46895,7,12.43483
2007-05-25,2007-05-30,39.67053,39.81938,0.00375,0.42036,2,9.12917
