Date,Open,High,Low,Close,Volume
1999-03-10,43.0797,43.106,42.3687,43.0271,5232000
1999-03-11,43.3431,43.5932,42.3951,43.2377,9688600
1999-03-12,43.0797,43.106,41.8421,42.1844,8743600
1999-03-15,42.5004,43.4484,42.0528,43.3957,6369000
1999-03-16,43.5801,43.9487,43.1061,43.7644,4905800
1999-03-17,43.7644,43.817,43.3167,43.4484,3965000
1999-03-18,43.3957,44.3173,43.3825,44.291,4848400
1999-03-19,44.8703,44.8703,43.1324,43.1587,7160400
1999-03-22,43.343,43.4484,42.5531,42.6321,5024800
1999-03-23,42.3951,42.5531,41.0521,41.1311,10962400
1999-03-24,41.4998,42.5531,40.8678,42.5267,8447000
1999-03-25,43.185,44.0803,42.902,44.0803,8133800
1999-03-26,43.7117,44.212,43.4221,43.6064,8256200
1999-03-29,44.133,45.2126,43.8697,45.1863,5113800
1999-03-30,45.1336,45.5023,44.686,44.8703,4940600
1999-03-31,45.6076,45.6603,44.0804,44.212,8256600
1999-04-01,45.5023,45.555,44.3963,45.1336,8715800
1999-04-05,45.8644,46.8321,45.5813,46.7663,5697200
1999-04-06,46.7136,47.3719,46.3186,46.8584,7522400
1999-04-07,47.2929,47.3982,45.3706,46.3713,11923600
1999-04-08,46.2923,46.9637,45.3443,46.7399,7952400
1999-04-09,46.6609,47.1349,46.5293,47.0296,4946800
1999-04-12,45.9236,47.0296,45.8709,46.7136,10934000
1999-04-13,47.0032,47.1086,45.7129,46.0816,9962200
1999-04-14,46.6609,46.7136,44.2449,44.5017,21253800
1999-04-15,44.6597,45.1797,43.0797,45.1073,17650600
1999-04-16,45.002,45.002,43.5537,43.7907,17274000
1999-04-19,44.0804,44.449,41.2957,41.7368,19460600
1999-04-20,41.5524,43.027,41.1574,42.6847,17413600
1999-04-21,43.0797,44.8177,42.5004,44.7913,10940400
1999-04-22,45.2126,46.1343,44.9164,46.0026,13630600
1999-04-23,45.7656,46.9506,45.2916,46.6082,7064400
1999-04-26,46.9242,48.0302,46.7728,47.6813,5421000
1999-04-27,48.0302,48.2672,46.3515,46.9506,16482800
1999-04-28,46.5556,46.7136,45.1402,45.3443,7676800
1999-04-29,45.1336,45.397,44.0277,44.9757,19148200
1999-04-30,45.6076,45.8446,43.659,45.2653,15295200
1999-05-03,45.1336,45.318,44.2713,45.0283,11109800
1999-05-04,45.1073,45.8183,44.054,44.3173,15428400
1999-05-05,44.3437,45.6603,43.0007,45.6603,12642600
1999-05-06,45.239,45.634,43.58,44.0014,15173400
1999-05-07,44.3963,44.765,43.4484,44.6333,16430400
1999-05-10,44.923,45.3838,44.3963,45.081,10604200
1999-05-11,45.4496,46.029,45.1863,45.792,8800800
1999-05-12,46.0026,46.8979,44.6597,46.7399,12507400
1999-05-13,47.1086,47.1876,45.6603,45.8709,9864000
1999-05-14,44.9756,45.5023,44.6597,45.002,12205400
1999-05-17,44.607,45.95,44.1659,45.8117,9906800
1999-05-18,45.7656,46.0289,45.081,45.6076,9267800
1999-05-19,45.792,46.2659,45.081,46.2396,7985600
1999-05-20,46.3383,46.3383,44.8966,44.9691,5997200
1999-05-21,45.1073,45.239,44.3173,44.5543,10958600
1999-05-24,44.6333,44.7123,43.1324,43.422,9569800
1999-05-25,43.3694,44.0013,41.8158,42.0001,17771200
1999-05-26,42.5531,43.343,41.2365,43.1719,26772000
1999-05-27,43.0007,43.7578,42.4478,43.1324,23334800
